,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,601,Pelham Bay Park,0.0,1,1,"5,848",0:00,1,0,1,0,0,1,0,16,2,0
1,602,Buhre Avenue,0.9,1,1,"3,140",1:30,0,0,0,0,0,0,0,35,4,2
2,603,Middletown Road,1.3,1,1,"1,638",1:30,0,0,0,0,0,0,0,6,1,2
3,604,Westchester Square­East Tremont Avenue,2.1,1,1,"4,922",2:00,0,0,0,0,0,0,0,24,4,1
4,605,Zerega Avenue,2.6,1,1,"2,180",1:00,0,0,0,0,0,0,0,30,1,2
5,606,Castle Hill Avenue,3.1,1,1,"5,355",1:00,0,0,0,0,0,0,0,39,2,1
6,607,Parkchester,3.9,1,1,"12,972",2:00,1,0,1,0,0,1,0,24,7,0
7,608,St. Lawrence Avenue,4.6,0,1,"3,498",1:30,0,0,0,0,0,0,0,32,3,1
8,609,Morrison Avenue­Soundview,5.2,0,1,"5,398",1:30,0,0,0,0,0,0,0,35,5,0
9,610,Elder Avenue,5.7,0,1,"5,470",1:30,0,0,0,0,0,0,0,34,5,0
10,611,Whitlock Avenue,6.4,0,1,"1,608",2:00,0,0,0,0,0,0,0,12,1,0
11,612,Hunts Point Avenue,7.2,1,0,"8,697",2:00,1,0,1,0,0,1,0,33,6,0
12,613,Longwood Avenue,7.9,0,0,"2,602",2:00,0,0,0,0,0,0,0,18,2,1
13,614,East 149th Street,8.8,0,0,"4,020",1:30,0,0,0,0,0,0,0,28,5,0
14,615,E 143 St-St Mary's St,9.3,0,0,860,1:30,0,0,0,0,0,0,0,2,0,0
15,616,Cypress Avenue,10.0,0,0,"2,860",1:50,0,0,0,0,0,0,0,17,3,1
16,617,Brook Avenue,10.6,0,0,"4,996",1:00,0,0,0,0,0,0,0,37,5,1
17,618,Third Avenue­138th Street,11.2,1,0,"6,860",2:00,0,0,0,0,0,1,0,3,3,0
18,619,125th Street,12.9,1,0,"23,438",3:00,4,2,2,1,1,1,0,23,6,4
19,620,116th Street,13.6,1,0,"12,527",2:30,1,1,0,0,0,0,1,28,7,1
20,621,110th Street,14.1,1,0,"9,085",1:30,1,1,0,0,0,0,0,19,3,2
21,622,103rd Street,14.7,1,0,"11,067",1:30,1,1,0,0,0,0,1,29,11,0
22,623,96th Street,15.2,1,0,"14,096",1:30,1,1,0,0,0,0,1,37,4,1
23,624,86th Street,16.0,1,0,"37,089",2:00,3,2,1,0,0,0,1,32,5,1
24,625,77th Street,16.8,1,0,"21,428",2:00,2,1,1,0,0,0,0,33,20,1
25,626,68th Street­Hunter College,17.5,1,0,"18,355",2:00,1,1,0,0,0,0,0,11,0,1
26,627,59th Street,18.2,1,0,"45,920",2:00,9,8,1,0,0,0,0,30,1,0
27,628,51st Street,18.9,1,0,"51,938",2:00,3,3,0,0,0,0,0,44,13,1
28,629,Grand Central­42nd Street,19.8,1,0,"125,331",2:30,6,4,2,1,1,1,1,50,6,2
29,630,33rd Street,20.5,1,0,"24,479",2:30,3,1,2,1,0,0,0,46,4,7
30,631,28th Street,21.0,1,0,"15,986",1:30,1,0,1,0,0,0,0,42,16,3
31,632,23rd Street,21.4,1,0,"23,725",1:30,3,1,2,1,0,0,0,2,0,0
32,633,14th Street­Union Square,22.0,1,0,"88,727",1:30,8,7,1,0,0,1,0,31,9,4
33,634,Astor Place,22.5,1,0,"15,077",2:00,1,1,0,0,0,0,0,31,5,0
34,635,Bleecker Street,23.1,1,0,"34,124",1:00,5,5,0,0,0,0,0,34,3,8
35,636,Spring Street,23.5,1,0,"10,286",1:30,1,1,0,0,0,0,0,42,6,2
36,637,Canal Street,24.1,1,0,"43,457",1:00,7,7,0,0,0,0,0,39,3,18
37,638,Brooklyn Bridge­City Hall,24.8,1,0,"24,836",1:30,4,4,0,0,0,1,0,5,3,0
