,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,135,용산,0.0,1,1,"72,352",0:00,1,1,0,1,0,0,0,60,3,6
1,136,노량진,2.6,1,1,"106,658",03:30,1,0,1,0,1,0,2,34,4,0
2,137,대방,4.1,0,1,"21,483",02:30,1,0,1,0,0,0,0,24,1,0
3,138,신길,4.9,0,1,"63,478",01:30,1,0,1,0,1,0,1,3,0,1
4,139,영등포,5.9,1,1,"77,045",02:30,1,1,0,1,0,0,0,60,3,5
5,140,신도림,7.4,1,1,"289,717",02:30,1,0,1,0,0,0,0,14,5,0
6,141,구로,8.5,1,1,"33,164",02:00,1,1,0,0,0,0,0,24,1,0
7,142,구일,9.9,0,1,"13,408",03:00,0,0,0,0,0,0,0,0,0,0
8,143,개봉,10.9,0,1,"38,294",02:00,0,0,0,0,0,0,0,10,4,0
9,144,오류동,12.2,0,1,"20,734",02:30,0,0,0,0,0,0,0,3,4,0
10,145,온수,14.1,0,1,"42,373",03:00,1,0,1,0,0,0,0,0,1,0
11,146,역곡,15.4,1,1,"49,578",02:00,0,0,0,0,0,0,2,53,9,2
12,147,소사,16.9,0,1,"15,870",02:30,1,1,0,0,0,0,3,18,0,0
13,148,부천,18.0,1,1,"60,526",02:00,0,0,0,0,0,0,0,54,3,8
14,149,중동,19.7,0,1,"16,310",02:30,0,0,0,0,0,0,0,42,0,0
15,150,송내,20.7,1,1,"47,872",02:00,0,0,0,0,0,0,1,46,6,0
16,151,부개,21.9,0,1,"15,088",02:00,0,0,0,0,0,0,0,22,1,0
17,152,부평,23.4,1,1,"57,388",02:30,1,0,1,0,0,0,4,60,6,5
18,153,백운,25.1,0,1,"12,453",02:30,0,0,0,0,0,0,0,23,0,0
19,154,동암,26.6,0,1,"28,313",02:30,0,0,0,0,0,0,4,52,6,1
20,155,간석,27.8,0,1,"10,355",02:30,0,0,0,0,0,0,3,26,1,0
21,156,주안,29.0,1,1,"33,676",02:00,1,0,1,0,0,0,0,54,8,2
22,157,도화,30.0,0,1,"7,303",02:00,0,0,0,0,0,0,0,9,1,0
23,158,제물포,31.0,0,1,"18,765",02:00,0,0,0,0,0,0,2,55,3,4
24,159,도원,32.4,0,1,"5,767",02:00,0,0,0,0,0,0,1,7,0,0
25,160,동인천,33.6,1,1,"25,222",02:00,0,0,0,0,0,0,1,43,1,0
26,161,인천,35.5,0,1,"6,991",04:00,1,1,0,0,0,0,0,44,3,6
