,review
0,"You can see students running through National Route 15 (Daiichi Keihin) near Dang Station.It is a connection station of the cue line, a capacity of the lane, a Sengakuji folded train is set (eg) (Example 1) Senga Kuji Stop in the Keiku Line → Terminates Sendakesa to the Osiagal Train of Nishimago Meval (There is a reverse pattern, a two -door train in Yokohama during the day.It is the station of the cue line. "
1," convenience is moderately good.I don't know if it's coming, but it's easy to use and a good part.If you use the EX Hotel Senda Kesa, the exit is convenient./ The station is a strange uncle.I think it's the first time, but at least the station of the station of Tokyo Metro Nagata Machi can say that.In the same station, you can go to Magome, Gotanda, and Asakusa, so it's very convenient, but it was only uncomfortable because there was no escalator going home from the ticket gate.There are many fucks because the branch station of the Keiku Line, this is the starting point of the Keikyu, and the barrier prefation is delayed.There is a gateway station.I was worried that I couldn't see the main cavity nearby.In the basement of the Daiichi Keihin National Route, the home width was narrowed, and the home door was quickly installed.There are two tickets at the north and southern ends of the station.The toilets are all outside the ticket gate, and on the north side, there is a toilet (a private room for the kidneyers and men and women).Doei Asakusa Line and Keikyu Main Station. "
2,"The transfer with NJR can be done in other stations, so it is not recommended to take a tour of Takanawa Station.side.The name of the station seems to resemble the temple, but I think JR's name is to withdraw if possible."
3," It is a very fast convenience in a short time stop.When the diamonds are so bad that the driving intervals in Nishimagome are empty, there is a lot of people with a narrow home.It is a Doyoung subway used in taxes, but it is a dangerous state for the situation.In order to take a taxi, it is necessary to go to the street, so I don't think it is a station that endures practical at this time.Some trains of the Margotes are also on the side of the Izumi Dake Sinagawa Station.Wheelchair is at the entrance of Mita Station.The groove is only staircase in the pattern.Maintenance with the Yamanote Line New Station!/Because there is only one side of the elevator and the escalator, the worst is for those who have a substitute from Haneda Airport or those who are uncomfortable. "
4," are old.I know that I like the analog of Japanese analog, but for people who are uncomfortable and foreigners from Haneda Airport, the batch of transit or the equipment is the worst./GOOGLE map, but the A1 exit is marked in the southeast, but it is closed because it is under construction.There is no sign during the closing of the exit, so if you find the entrance from the ground and the southeast, you cannot arrive at the station., I walk a little bit, but I survive. "
5," station is quite old and poor.There are many ointments of Akayoshisa Temple, and it is also a deep temple for Akayoshi.When Akaho was born and raised, I thought that when I was three, I thought I would endure once so that I would forget time in the television drama or movie of the loyalty.Doctors were quietly sleeping and felt that they were still in Japan.So far, Kabukina, doll premature ejaculation, television drama,…Please be careful when you visit Tokyo and go to Haneda Airport.In particular, if you take a train marked with ""Nishima Gome"", we will move in the other direction from Haneda Airport.I only passed through the details/a few o'clock, but I started the exterior with a transfer with JR. "
6," I took a picture of a signal at the intersection.If you are steep and uncomfortable, there are not only the temples of the Oishi Dakji area, but also the Tokyo star of the school and Goyasan.In addition, you can also go to one of the symptoms of the grass or the Sensoji of Asakusa. If you want to collect 御.Note that it is not available. "
7," ↔ Usually Nishima Me Yuki, Izumi Dake? (Laughter)./The branch station of Doei Asakusa and Keikyu Line.However, Keikyu's reverse number (KKXX) is not shaken.It is near Senga Kuji.I think there is a calm atmosphere./ If you try to go over the track of the JR, you have to hide a short and long tunnel.I answer quite a bit.Even if you look forward to redevelopment, it's quite the first to be redeveloped.Details/It's in vain even if you say this, but there is no toilet in the ticket gate?I do not know.So it seemed to leak in the train.It was very good to go to Sinagawa, but it was very fast in the hotel.Still during development.lost ??…/There is no problem because the ceiling is low and the old station transfer.There is a plate with the name of Akaho Langsa on the wall of the ticket gate.Be careful not to make a mistake.If you stand out, it will fall. "
8,". The station of the JR Tamachi Station in Mita Station is not foolish, and I did not miss the ride.good!!When I go to Haneda Airport from the city center, I transfer to the Asakusa Line on the Mita Line on the Doei subway and use Mita several times.The number of passengers was also high, and the impression was always crowded.It is convenient to move from Mita Station to JR Tamachi Station without crossing the intersection on the ground, but it becomes a significant exercise because the distance is long.The ground is good in the JR Tamachi station, but because there is no contact ticket, it is necessary to go to the ground once. \Is there a staircase or a bad structure when you have a lot of baggage.. "
9," I am using the Asakusa Line, but Daiichi Kei's Tamachi Station exit has a lot of ""down the stairs"" to the gate, which is frustrated when you are tired.In addition, "
