,Unnamed: 0,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,0,A07,Sengakuji,0.0,1,0,2.1528761144596684,-2.4494897427831783,0.5726371269248889,-0.6324555320336758,0.7725393039369072,0.0,0.0,1.3416407864998738,-0.6324555320336757,-2.652307158822261,-1.6937687147353957,-1.1668647623766208
1,1,A08,Mita,1.1,1,0,0.30807442638319377,0.4082482904638629,0.5726371269248889,1.5811388300841895,0.051502620262460455,0.0,0.0,1.3416407864998738,-0.6324555320336757,-1.4797082043955772,0.6775074858941582,-0.8945963178220759
2,2,A09,Daimon,2.6,1,0,0.3139105435690274,0.4082482904638629,1.3014480157383839,1.5811388300841895,0.7725393039369072,0.0,0.0,-0.74535599249993,-0.6324555320336757,0.24010359543022555,-0.3387537429470791,-0.8945963178220759
3,3,A10,Shimbashi,3.6,1,0,0.12510290227747503,0.4082482904638629,2.030258904551879,-0.6324555320336758,2.2146126712858005,0.0,0.0,-0.74535599249993,2.687936011143122,1.256356022600018,1.3550149717883164,0.4667459049506484
4,4,A11,Higashi-ginza,4.5,0,0,-0.12230137381362914,1.8371173070873834,0.5726371269248889,-0.6324555320336758,0.7725393039369072,0.0,0.0,-0.74535599249993,-0.6324555320336757,0.31827685905867115,0.0,1.011282794059738
5,5,A12,Takaracho,5.3,0,0,-1.0209456889614053,-1.0206207261596576,-1.6137955395155963,-0.6324555320336758,-1.390570747086433,0.0,0.0,-0.74535599249993,-0.6324555320336757,-1.0888418862533493,-1.0162612288412374,2.917161905941552
6,6,A13,Nihombashi,6.1,1,0,0.1019266213492941,0.4082482904638629,-0.15617376188860616,-0.6324555320336758,0.051502620262460455,0.0,0.0,-0.74535599249993,0.47434164902525683,0.24010359543022555,-0.6775074858941582,-0.622327873267531
7,7,A14,Ningyocho,6.9,0,0,-0.6509997707493096,0.4082482904638629,-0.15617376188860616,-0.6324555320336758,0.051502620262460455,0.0,0.0,1.3416407864998738,-0.6324555320336757,0.709143177200899,1.0162612288412374,-0.35005942871298623
8,8,A15,Higashi-nihombashi,7.6,1,0,-0.12763292755400168,0.4082482904638629,-0.15617376188860616,1.5811388300841895,-0.6695340634119863,0.0,0.0,-0.74535599249993,-0.6324555320336757,0.31827685905867115,-0.6775074858941582,-0.07779098415844135
9,9,A16,Asakusabashi,8.3,0,0,-0.5117066222390088,-1.0206207261596576,-0.8849846507021012,-0.6324555320336758,-0.6695340634119863,0.0,0.0,1.3416407864998738,0.47434164902525683,0.5527966499440079,-0.6775074858941582,0.1944774603961035
10,10,A17,Kuramae,9.0,0,0,-0.9204030130625188,0.4082482904638629,-0.8849846507021012,1.5811388300841895,-1.390570747086433,0.0,0.0,-0.74535599249993,-0.6324555320336757,0.4746233863155623,-0.3387537429470791,-0.622327873267531
11,11,A18,Asakusa,9.9,1,0,-0.6109037956166656,0.4082482904638629,-0.15617376188860616,-0.6324555320336758,0.051502620262460455,0.0,0.0,-0.74535599249993,0.47434164902525683,0.709143177200899,1.3550149717883164,0.4667459049506484
12,12,A19,Honjo-azumabashi,10.6,0,0,-1.207045506428983,0.4082482904638629,-1.6137955395155963,-0.6324555320336758,-1.390570747086433,0.0,0.0,-0.74535599249993,-0.6324555320336757,0.0055838045448888115,-0.6775074858941582,-0.35005942871298623
13,13,A20,Oshiage,11.4,1,0,2.170048090386862,-1.0206207261596576,0.5726371269248889,-0.6324555320336758,0.7725393039369072,0.0,0.0,1.3416407864998738,1.5811388300841893,0.3964501226871167,1.6937687147353957,-0.07779098415844135
14,0,701,Flushing­Main Street,0.0,1,0,0.3360265526297793,-1.5804338562079845,0.276042452459285,-0.48330009424352754,1.9205531989934395,1.6329931618554518,1.4638501094227998,-0.5423261445466404,-0.4714045207910318,1.1665936574924174,0.7288503939705184,3.5355339059327378
15,1,702,Mets­Willets Point,1.4,1,1,-0.5222957087063109,2.6597545384963643,-0.06134276721317437,-0.48330009424352754,0.9816160794855358,1.6329931618554518,1.4638501094227998,-0.5423261445466404,2.121320343559643,-2.049915225828712,-1.103687739441071,-0.7071067811865476
16,2,703,111 St,2.3,0,1,-0.42224612186386623,0.9636791806146248,-0.3987279868856337,-0.48330009424352754,0.04267895997763195,-0.6123724356957944,1.4638501094227998,-0.5423261445466404,-0.4714045207910318,-0.44166078416814747,-0.4164859394117249,-0.47140452079103173
